,토픽 제목,번역 결과
15,イチからはじめる『リングフィット アドベンチャー』。長く続けるためのコツをご紹介。,"""Ring Fit Adventure""는 Ichi에서 시작합니다.오랫동안 계속하기위한 팁을 소개합니다."
16,ニンテンドーeショップ新作入荷情報 6/2（金）号。,Nintendo e 새로운 도착 정보 6/2 (Fri) No. 6/2 (Fri).
17,君だけの地図で、迷宮に挑め。『世界樹の迷宮Ⅰ･Ⅱ･Ⅲ HD REMASTER』がNintendo Switchで本日発売。本作の楽しみ方をご紹介。,"지도에서만 미로에 도전하십시오.""월드 트리 Labyrinth II, II, II, HD Remaster""는 오늘 Nintendo Switch에서 출시됩니다.이 작품을 즐기는 방법을 소개합니다."
18,最近、コロガシ足リテル？ 『みんな大好き塊魂アンコール＋ 王様プチメモリー』が本日発売。子ども時代の王様で転がせる「王様プチメモリー」など、パワーアップした新要素をご紹介。,"최근 코로 가시 문학자?""모두가 덩어리 소울 앙코르 + 킹 쁘띠 기억을 좋아합니다""가 오늘 발표 될 것입니다.어린 시절의 왕이 굴릴 수있는 ""King Petit Memory""와 같이 전원이 켜진 새로운 요소를 소개합니다."
19,「日常」を暮らし、「非日常」を戦う。独自AIにより描かれるジュブナイルRPG『LOOP8（ループエイト）』がNintendo Switchで本日発売。,"일상 생활에서 살고 ""특별한""싸움.자체 AI로 그려진 Juba Nile RPG ""Loop8 (Loop 8)""은 오늘 Nintendo Switch에서 출시됩니다."
20,『Pokémon HOME』が、Nintendo Switch『ポケットモンスター スカーレット・バイオレット』と連携。,"""Pokémon Home""은 Nintendo Switch ""Pokemon Scarlet Violet""과 좌표를합니다."
21,ニンテンドーeショップ新作入荷情報 5/26（金）号。,Nintendo e 새로운 끈적 끈적한 정보 5/26 (Fri).
22,『ゼルダの伝説　ティアーズ オブ ザ キングダム』のプラチナポイント交換グッズが新たに登場。マイニンテンドーストアで販売中のオリジナルグッズや、新登場のアイコンもご紹介。,"플래티넘 포인트 교환 ""왕국의 젤다 눈물의 전설""의 상품이 새로 소개되었습니다.My Nintendo Store에서 판매중인 원래 상품을 소개하고 새로 등장한 아이콘."
23,イチからはじめる『ルイージマンション３』。謎やオバケも怖くない、ホテル「ラストリゾート」序盤のフロアガイド編。,"""Luigi Mansion 3""은 Ichi에서 시작합니다.호텔 ""마지막 수단""은 미스터리와 유령을 두려워하지 않습니다."
24,ひとりでも、みんなでも。『パズルボブル エブリバブル!』がNintendo Switchで本日発売。オンライン対戦を楽しめる期間限定体験版も本日より配信開始。,"혼자 또는 모두.""Puzzle Bobble Every Bubble!""은 오늘 Nintendo Switch에서 출시됩니다.온라인 경기를 즐길 수있는 제한된 시간 시험판이 오늘 배포됩니다."
25,ゲームボーイアドバンス Nintendo Switch Online「スーパーマリオアドバンス」シリーズの3作が5月26日に追加。,"Game Boy Advance Nintendo Switch Online ""Super Mario Advance""시리즈는 5 월 26 일에 추가됩니다."
26,イチからはじめる『ルイージマンション３』。謎やオバケに立ち向かうための「オバキューム」操作ガイド編。,"""Luigi Mansion 3""은 Ichi에서 시작합니다.미스터리와 유령에 맞서기위한 ""Obacwork""운영 안내서."
27,イチからはじめる『あつまれ どうぶつの森』。あなただけの生活のはじまり。,"""Atsume Animal Crossing""은 Ichi에서 시작합니다.자신의 삶의 시작."
28,ゼルダの伝説　ティアーズ オブ ザ キングダム,젤다 전설 왕국의 눈물
29,ファイアーエンブレム エンゲージ,화재 상징적 참여
30,スプラトゥーン3,스 플래툰 3
31,Xenoblade3（ゼノブレイド3）,Xenoblade3 (Xenoblade 3)
